RecordNum,RecordType,RecordTypeMapped,RecordTypeDesc,Description,OpenDate,LastInspDate,LastInspResult,StatusCurrent,OriginalAddress1,OriginalZip,Link,Latitude,Longitude,Location1,OpenMonth,OpenYear,OpenQuarter,LastInspMonth,LastInspYear,LastInspQuarter,NoInspDate T/F,NoInspResult T/F,OpenToLastInspDays,District,CP,VI,CT,RecordTypeDescBlank,_complaint_datetime,address_norm,elevator_complaint_flag,sfd_elevator_rescue_count,first_rescue_date,last_rescue_date,example_raw_address,conveyance_active_record_count,conveyance_active_first_created_date,conveyance_active_last_created_date,conveyance_active_record_numbers,conveyance_active_record_types,conveyance_active_property_project_names,conveyance_active_statuses,conveyance_active_descriptions,conveyance_active_flag,conveyance_no_cert_record_count,conveyance_no_cert_first_created_date,conveyance_no_cert_last_created_date,conveyance_no_cert_record_numbers,conveyance_no_cert_record_types,conveyance_no_cert_property_project_names,conveyance_no_cert_statuses,conveyance_no_cert_descriptions,conveyance_no_cert_flag,sfd_rescue_at_address_flag
008186-25CP,Complaint,Request,,"Both of the elevators have been broken down completely for multiple days now, even though we have ADA folks on different floors who can barely walk let alone use the stairs. There is mold and issues on the walls and ceilings in the hallways, especially on the 8th floor. The laundry room only has 3 functioning washers for a building with at least 100 residents and they tell us they will replace them. They don't and they act like we are ungrateful. I've been told we're lucky because laundry at la",2025 Jul 03 12:00:00 AM,,,Closed,101 W OLYMPIC PL,98119.0,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008186-25CP,47.62657516,-122.35841158,"(47.62657516, -122.35841158)",7,2025,3,,,,True,True,,7.0,True,False,False,True,2025-07-03,101 W OLYMPIC PL,True,4,2020-11-01,2025-12-25,101 W Olympic Pl,2,1989-10-27,1989-10-27,EQP-CY-01899 | EQP-CY-01898,Conveyance Equipment Certification,"2-P - Cabled Elevator, City # 1430 | 1-P - Cabled Elevator, City # 1429",Active,QUEENSBOROUGH APTS - CONV,True,0,,,,,,,,False,True
008192-25CP,Complaint,Request,,"I am submitting this complaint to report multiple serious violations of building, safety, code violations]. The primary elevator has been out of service, and the only alternative-an elevator located behind multiple locked doors requiring a resident-only key code-is not accessible to non-residents, including disabled visitors, caregivers, delivery personnel, and emergency responders. This creates an unlawful and dangerous situation that denies safe and accessible egress in direct violation of th",2025 Jul 03 12:00:00 AM,,,Completed,9400 Rainier AVE S,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008192-25CP,47.52009207,-122.26505776,"(47.52009207, -122.26505776)",7,2025,3,,,,True,True,,2.0,True,False,False,True,2025-07-03,9400 RAINIER AVE S,True,25,2022-05-03,2025-12-02,9400 Rainier Ave S,1,2022-07-13,2022-07-13,EQP-CY-10506,Conveyance Equipment Certification,"2 - Cabled Elevator, City # 13616",Active,CONV,True,1,2022-07-13,2022-07-13,EQP-CY-10505,Conveyance Equipment Certification,"1 - Cabled Elevator, City # 13615",Operating Without Certificate,CONV,True,True
008213-25CP,Complaint,Request,,"All elevators are often (at least once a month) down. This is well documented in resident emails. Additionally, trash chutes are often backed up so there is trash overflowing in the residential floors, and apartments reek of waste.",2025 Jul 06 12:00:00 AM,,,Completed,800 SENECA ST,98101.0,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008213-25CP,47.60967965,-122.32978562,"(47.60967965, -122.32978562)",7,2025,3,,,,True,True,,7.0,True,False,False,True,2025-07-06,800 SENECA ST,True,21,2020-01-19,2026-01-19,800 Seneca St,3,2015-04-08,2015-04-09,EQP-CY-08148 | EQP-CY-08147 | EQP-CY-08144,Conveyance Equipment Certification,"C - Cabled Elevator, City # 11363 | B - Cabled Elevator, City # 11362 | A - Cabled Elevator, City # 11361",Active,,True,0,,,,,,,,False,True
008278-25CP,Complaint,Request,,"One of two elevators for our building has been out of service for over 3 months now (I noticed it the evening of March 19th). There are multiple residents, many with children or disabilities, that require both elevators to be in service. Management has not shared a clear and concise plan for getting the elevator back in service and has said ""parts are on order"", the parts have supposedly been received as of May 24th and repairs were supposed to take place the following week, but there hasn't be",2025 Jul 07 12:00:00 AM,2025 Dec 03 12:00:00 AM,Completed,Completed,10306 MERIDIAN AVE N,98133.0,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008278-25CP,47.70349549,-122.33280284,"(47.70349549, -122.33280284)",7,2025,3,12.0,2025.0,4.0,False,False,149.0,5.0,True,False,False,True,2025-07-07,10306 MERIDIAN AVE N,True,3,2024-10-25,2026-01-08,10306 Meridian Ave N,2,1989-04-03,1989-04-03,EQP-CY-00656 | EQP-CY-00655,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 3296 | 2-P - Cabled Elevator, City # 3295",Active,,True,0,,,,,,,,False,True
1061283-VI,Notice of Violation,Case,,One of the two elevators do not workPOTA 000405-25CV,2025 Jul 08 12:00:00 AM,2025 Jul 01 12:00:00 AM,Completed,Under Investigation,610 HARVARD AVE E,98102.0,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1061283-VI,47.62459765,-122.32175983,"(47.62459765, -122.32175983)",7,2025,3,7.0,2025.0,3.0,False,False,-7.0,3.0,False,True,False,True,2025-07-08,610 HARVARD AVE E,True,1,2021-06-28,2021-06-28,610 Harvard Ave E,1,1989-03-30,1989-03-30,EQP-CY-00631,Conveyance Equipment Certification,"2-P - Cabled Elevator, City # 3146",Active,,True,0,,,,,,,,False,True
008291-25CP,Complaint,Request,,"The single elevator has been out of service since the first week of June 2025. On 7/6/25 paramedics had to be let in by a resident because they could not access the upper floor unit to which they were called without a key fob. Additionally, the one (sort of) wheelchair-accessible entrance to the building has been chained shut for weeks.",2025 Jul 08 12:00:00 AM,,,Completed,123 18TH AVE E,98112.0,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008291-25CP,47.61921428,-122.30916399,"(47.61921428, -122.30916399)",7,2025,3,,,,True,True,,3.0,True,False,False,True,2025-07-08,123 18TH AVE E,True,0,,,,0,,,,,,,,False,1,2016-11-17,2016-11-17,EQP-CY-08589,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 11950",Operating Without Certificate,RUTH COURT APARTMENTS - CONV,True,False
008419-25CP,Complaint,Request,,"Elevator is down again, thistime for 2 weeks",2025 Jul 09 12:00:00 AM,2025 Jul 29 12:00:00 AM,Completed,Completed,3610 33RD AVE S,98144.0,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008419-25CP,47.57113199,-122.29049933,"(47.57113199, -122.29049933)",7,2025,3,7.0,2025.0,3.0,False,False,20.0,2.0,True,False,False,True,2025-07-09,3610 33RD AVE S,True,3,2024-01-25,2025-05-09,3610 33rd Ave S,0,,,,,,,,False,1,2014-07-15,2014-07-15,EQP-CY-07993,Conveyance Equipment Certification,"1 - Hydraulic Elevator, City # 11348",Operating Without Certificate,,True,True
008438-25CP,Complaint,Request,,"Tenant has cockroaches in unit has lived there for 8yrs not sure where they are coming from. They're also on the elevator. Hard to understand tenant. Not sure what the issue is, speaks english.",2025 Jul 09 12:00:00 AM,,,Completed,4251 AURORA AVE N,98103.0,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008438-25CP,47.65889734,-122.34777857,"(47.65889734, -122.34777857)",7,2025,3,,,,True,True,,6.0,True,False,False,True,2025-07-09,4251 AURORA AVE N,True,7,2021-08-31,2026-01-15,4251 Aurora Ave N,1,2014-03-18,2014-03-18,EQP-CY-07918,Conveyance Equipment Certification,"1P - Hydraulic Elevator, City # 10498",Active,PATRICK PLACE APARTMENTS - CONV,True,0,,,,,,,,False,True
008440-25CP,Complaint,Request,,Elevator is consistently down ongoing issue. Been happening since 4/2025. Mgmt. is aware. Would like to know rights.Reference 008419-25,2025 Jul 03 12:00:00 AM,,,Open Duplicate,3610 33RD AVE S,98144.0,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008440-25CP,47.57113199,-122.29049933,"(47.57113199, -122.29049933)",7,2025,3,,,,True,True,,2.0,True,False,False,True,2025-07-03,3610 33RD AVE S,True,3,2024-01-25,2025-05-09,3610 33rd Ave S,0,,,,,,,,False,1,2014-07-15,2014-07-15,EQP-CY-07993,Conveyance Equipment Certification,"1 - Hydraulic Elevator, City # 11348",Operating Without Certificate,,True,True
008567-25CP,Complaint,Request,,"CSB: Hello, this is Mary K drake. I live at Schwabocker house, which is the senior housing facility located at 1715 Northwest 59th Street in Seattle 98107. We constantly have elevator problems. I don't know. I hopefully you can do something about this or try to get someone on the ball with it. It was out just last week and it was supposedly fixed. Anyhow, it goes out every so often people get stuck on it and the fire department has to come and rescue us. But please, please give me a call back o",2025 Jul 10 12:00:00 AM,,,Completed,1715 NW 59TH ST,98107.0,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008567-25CP,47.67136938,-122.3798331,"(47.67136938, -122.3798331)",7,2025,3,,,,True,True,,6.0,True,False,False,True,2025-07-10,1715 NW 59TH ST,True,5,2024-04-06,2025-07-01,1715 Nw 59th St,0,,,,,,,,False,1,1990-03-02,1990-03-02,EQP-CY-02990,Conveyance Equipment Certification,"1-P - Hydraulic Elevator, City # 4843",Operating Without Certificate,SCHWABACHER HOUSE - CONV,True,True
