"Address","Zip","District","TotalRecords","SevereConditions","DisplacementNotices","RedevelopPermits","ExemptionPermits","NoHeatComplaints","NoWaterComplaints","SewageComplaints","EvictionNotices","OpenUnresolved","YearsActive","Typology","chronic_severe","severe_plus_rdev","disp_plus_rdev"
"1315 S JUDKINS ST","98144","2","2","1","1","0","0","1","0","0","1","0","2009;2024","Other","0","0","0"
"6501 36TH AVE NE","98115","4","6","1","0","0","0","0","0","0","0","0","2006;2013;2016;2019","Other","0","0","0"
"306 QUEEN ANNE AVE N","98109","7","7","1","0","0","0","0","0","0","0","1","2010;2012;2019;2024;2025","Other","0","0","0"
"438 NE THORNTON PL","98125","5","1","1","0","0","0","0","0","1","0","0","2023","Other","0","0","0"
"4209 28TH AVE SW","98126","1","1","1","0","0","0","0","0","0","0","0","2013","Other","0","0","0"
"4927 GREEN LAKE WAY N","98103","4","1","1","0","0","0","0","0","0","0","0","2023","Other","0","0","0"
"6940 PARSHALL PL SW","98136","1","3","1","0","0","0","0","0","0","0","0","2019","Other","0","0","0"
"1535 21ST AVE S","98144","3","3","1","0","0","0","0","0","0","0","0","2008;2017","Other","0","0","0"
"6216 CHATHAM DR S","98118","2","4","1","0","0","0","0","0","0","0","0","2018;2019;2021;2022","Other","0","0","0"
"1533 NE 76TH ST","98115","4","1","1","0","0","0","1","0","0","0","0","2016","Other","0","0","0"
"516 36TH AVE E","98112","3","11","1","0","0","0","0","0","0","0","0","2005;2012;2014;2019;2022;2024","Other","0","0","0"
"8031 16TH AVE NW","98117","6","1","1","0","0","0","0","0","0","0","0","2015","Other","0","0","0"
"1732 12TH AVE S","98144","2","5","1","0","0","0","0","0","0","0","1","2024;2025","Other","0","0","0"
"4825 S AUSTIN ST","98118","2","3","1","0","0","0","1","0","0","0","0","2013;2024","Other","0","0","0"
"401 E MERCER ST","98102","3","8","1","0","0","0","0","0","0","0","3","2012;2015;2018;2019;2020;2024","Other","0","0","0"
"3633 LINDEN AVE N","98103","6","8","1","1","0","0","0","0","0","1","4","2015;2018;2020;2021;2022;2024","Other","0","0","0"
"315 N 130TH ST","98133","5","4","1","0","0","0","0","0","0","0","0","2010;2025","Other","0","0","0"
"2490 DEXTER AVE N","98109","7","11","1","0","0","0","0","1","0","0","4","2020;2021;2022","Other","0","0","0"
"6557 15TH AVE NW","98117","6","12","1","0","0","0","0","0","0","0","0","2005;2006;2008;2010;2012","Other","0","0","0"
"4025 35TH AVE SW","98126","1","1","1","0","0","0","0","0","0","0","0","2008","Other","0","0","0"
"2265 NE 53RD ST","98105","4","3","1","0","0","0","0","0","0","0","0","2019;2023","Other","0","0","0"
"121 E EDGAR ST","98102","3","4","1","0","0","0","0","0","0","0","0","2005;2006","Other","0","0","0"
"4635 S ORCHARD ST","","2","1","1","0","0","0","0","0","0","0","1","2018","Other","0","0","0"
"1619 N 50TH ST","98103","4","5","1","0","0","0","0","0","0","0","0","2005;2007;2020","Other","0","0","0"
"1139 B NW 59TH ST","98107","6","1","1","0","0","0","0","0","0","0","0","2023","Other","0","0","0"
"5545 35TH AVE NE","98105","4","3","1","0","0","0","0","0","0","0","0","2016;2024;2025","Other","0","0","0"
"7321 36TH AVE SW","","1","5","1","0","0","0","0","0","0","0","1","2020;2021;2022;2024","Other","0","0","0"
"9032 15TH AVE NW","98117","5","3","1","0","0","0","0","0","0","0","2","2018;2022","Other","0","0","0"
"8321 36TH AVE S","98118","2","11","1","0","0","0","0","0","0","0","0","2007;2009;2010;2014;2020;2023;2025","Other","0","0","0"
"4510 54TH AVE NE","98105","4","6","1","0","0","0","0","0","0","0","0","2004;2009;2010;2011","Other","0","0","0"
"14303 SUNNYSIDE AVE N","98133","5","6","1","0","0","0","0","0","0","0","0","2005;2021","Other","0","0","0"
"923 N 105TH ST","98133","5","16","1","3","0","0","0","0","0","2","4","2008;2019;2020;2021","Other","0","0","0"
"1627 15TH AVE","98122","3","5","1","0","0","0","1","0","0","0","2","2006;2020;2021;2022;2023","Other","0","0","0"
"13508 RIVIERA PL NE","98125","5","4","1","0","3","0","0","0","0","0","0","2008;2014;2015","Other","0","0","0"
"8136 22ND AVE SW","98106","1","1","1","0","0","0","0","0","0","0","0","2017","Other","0","0","0"
"4854 40TH AVE SW","98116","1","8","1","0","0","0","0","0","0","0","0","2008;2009;2010;2025","Other","0","0","0"
"10011 21ST AVE NE","98125","5","2","1","0","0","0","0","0","0","0","0","2011;2012","Other","0","0","0"
"402 30TH AVE S","98144","3","8","1","0","0","0","0","0","0","0","2","2022;2023","Other","0","0","0"
"4402 48TH AVE SW","98116","1","1","1","0","0","0","0","0","0","0","0","2014","Other","0","0","0"
"922 NW 63RD ST","98107","6","3","1","2","0","0","0","0","0","1","0","2016","Other","0","0","0"
"600 UNIVERSITY ST","98101","7","1","1","0","0","0","0","0","0","0","0","2010","Other","0","0","0"
"9242 35TH AVE SW","98126","1","4","1","0","0","0","0","0","0","0","0","2013;2018;2022","Other","0","0","0"
"216 26TH AVE S","98144","3","1","1","0","0","0","0","0","0","0","0","2012","Other","0","0","0"
"3103 MOUNT RAINIER DR S","98144","2","1","1","0","0","0","0","0","0","0","0","2018","Other","0","0","0"
"2710 23RD AVE S","98144","2","3","1","0","0","0","0","0","0","0","0","2009;2013","Other","0","0","0"
"9253 VIEW AVE NW","98117","6","7","1","0","0","0","0","0","0","0","1","2015;2016;2021;2024","Other","0","0","0"
"3723 MERIDIAN AVE N","98103","4","5","1","0","0","0","0","0","0","0","0","2009;2010","Other","0","0","0"
"9717 ROOSEVELT WAY NE","98115","5","2","1","0","0","0","0","0","0","0","0","2012","Other","0","0","0"
"11327 31ST AVE NE","98125","5","2","1","0","0","0","0","0","0","0","0","2013","Other","0","0","0"
"6701 S THAYER ST","98178","2","2","1","0","0","0","0","0","0","0","0","2021","Other","0","0","0"
"9502 14TH AVE NW","98117","5","3","1","0","0","0","0","0","0","0","0","2010;2023","Other","0","0","0"
"7616 41ST AVE SW","98136","1","12","1","0","0","0","0","0","0","0","1","2004;2006;2007;2011;2017;2020;2023;2024","Other","0","0","0"
"1419 31ST AVE S","98144","2","1","1","0","0","0","0","0","0","0","1","2024","Other","0","0","0"
"311 22ND AVE","98122","3","4","1","0","0","0","0","0","0","0","0","2015;2025","Other","0","0","0"
"1919 11TH AVE W","98119","7","2","1","0","0","0","0","0","0","0","0","2010","Other","0","0","0"
"6534 29TH AVE S","98108","2","2","1","1","0","0","1","0","0","1","0","2016","Other","0","0","0"
"507 20TH AVE E","98112","3","4","1","0","0","0","0","0","0","0","0","2004;2005","Other","0","0","0"
"931 11TH AVE E","","3","24","1","0","0","0","0","0","0","0","22","2017;2018;2023;2024;2025","Other","0","0","0"
"4063 34TH AVE S","98118","2","2","1","0","0","0","0","0","0","0","0","2016;2024","Other","0","0","0"
"1050 JAMES ST","98104","3","15","1","3","0","0","0","0","0","2","5","2016;2017;2019;2021;2022;2023;2024;2025","Other","0","0","0"
"2821 QUEEN ANNE AVE N","98109","7","4","1","0","0","0","0","0","0","0","0","2008;2010","Other","0","0","0"
"2130 NE 83RD ST","98115","4","1","1","0","0","0","0","0","0","0","0","2008","Other","0","0","0"
"8126 11TH AVE SW","98106","1","2","1","0","0","0","0","0","0","0","0","2018","Other","0","0","0"
"3044 29TH AVE W","98199","6","2","1","0","0","0","0","0","0","0","0","2009","Other","0","0","0"
"11210 MERIDIAN AVE N","98133","5","3","1","1","0","0","0","0","0","0","1","2014;2022","Other","0","0","0"
"4532 49TH AVE SW","98116","1","9","1","0","0","0","0","0","0","0","0","2014;2016;2018","Other","0","0","0"
"7515 CALIFORNIA AVE SW","98136","1","3","1","0","0","0","0","0","0","0","0","2010;2011","Other","0","0","0"
"3663 WHITMAN AVE N","98103","4","3","1","0","0","0","0","0","0","0","0","2016;2017;2020","Other","0","0","0"
"166 GALER ST","98109","7","2","1","0","0","0","0","0","0","0","0","2019","Other","0","0","0"
"2318 FEDERAL AVE E","98102","3","1","1","0","0","0","0","0","0","0","0","2015","Other","0","0","0"
"866 NW 90TH ST","98117","5","2","1","0","0","0","0","0","0","0","0","2016","Other","0","0","0"
"2114 N 57TH ST","98103","6","1","1","0","0","0","0","0","0","0","0","2013","Other","0","0","0"
"918 29TH AVE S","98144","3","11","1","1","0","0","0","0","1","0","0","2013;2015;2017;2018;2019;2020;2023","Other","0","0","0"
"13511 42ND AVE NE","98125","5","4","1","0","0","0","0","0","0","0","0","2007;2020;2022","Other","0","0","0"
"1356 E BOSTON ST","98102","3","2","1","0","0","0","0","0","0","0","0","2011;2019","Other","0","0","0"
"3121 16TH AVE S","98144","2","2","1","0","0","0","0","0","0","0","0","2010","Other","0","0","0"
"4705 30TH AVE S","98108","2","2","1","0","0","0","0","0","0","0","0","2006;2015","Other","0","0","0"
"3105 E SPRING ST","98122","3","4","1","0","0","0","0","0","0","0","1","2008;2016;2018;2022","Other","0","0","0"
"631 NW 80TH ST","98117","6","1","1","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"4068 BURTON PL W","98199","6","3","1","0","0","0","0","0","0","0","0","2014;2025","Other","0","0","0"
"63 C ETRURIA ST","98109","7","1","1","0","0","0","0","0","0","0","0","2025","Other","0","0","0"
"1801 N 34TH ST","98103","4","3","1","0","0","0","0","0","0","0","0","2017","Other","0","0","0"
"3028 ALKI AVE SW","98116","1","1","1","0","0","0","0","0","0","0","0","2025","Other","0","0","0"
"238 NE NORTHGATE WAY","98125","5","1","1","0","0","0","0","0","0","0","1","2024","Other","0","0","0"
"3340 59TH AVE SW","98116","1","3","1","0","0","0","0","0","0","0","0","2006;2017;2018","Other","0","0","0"
"5245 EAST MARGINAL WAY S","98134","1","2","1","0","0","0","0","0","0","0","2","2021;2024","Other","0","0","0"
"1018 E THOMAS ST","98102","3","1","1","0","0","0","0","0","0","0","0","2004","Other","0","0","0"
"4001 NE 50TH ST","98105","4","4","1","0","0","0","0","0","0","0","0","2011;2012;2025","Other","0","0","0"
"2420 NE NORTHGATE WAY","98125","5","4","1","0","0","0","0","0","0","0","1","2019;2021;2023;2025","Other","0","0","0"
"3300 NE 125TH ST","98125","5","31","1","6","0","0","0","0","0","6","14","2022;2023;2024;2025","Other","0","0","0"
"4218 LEARY WAY NW","98107","6","3","1","0","0","0","0","0","0","0","0","2005;2012","Other","0","0","0"
"5012 3RD AVE NW","98107","6","1","1","0","0","0","0","0","0","0","0","2007","Other","0","0","0"
"5102 S ALASKA ST","98118","2","4","1","0","0","0","0","0","2","0","2","2017;2019;2021;2024","Other","0","0","0"
"590 GALER ST","98109","7","2","1","0","0","0","0","0","0","0","0","2011;2025","Other","0","0","0"
"4932 ERSKINE WAY SW","98116","1","1","1","0","0","0","0","0","0","0","0","2013","Other","0","0","0"
"12313 ROOSEVELT WAY NE","98125","5","8","1","0","0","0","0","0","0","0","2","2020;2024;2025","Other","0","0","0"
"3635 WOODLAND PARK AVE N","98103","4","16","1","0","0","0","0","0","0","0","2","2013;2014;2020;2021;2022;2023;2024;2025","Other","0","0","0"
"820 15TH AVE E","98112","3","2","1","0","0","0","0","0","0","0","1","2024","Other","0","0","0"
"2136 N 130TH ST","98133","5","9","1","0","0","0","0","0","0","0","0","2011;2015;2016;2024","Other","0","0","0"
"802 5TH AVE N","98109","7","9","1","3","0","0","0","0","0","3","4","2020;2023;2024;2025","Other","0","0","0"
"1145 NW 56TH ST","98107","6","3","1","2","0","0","0","0","0","0","0","2005;2021;2022","Other","0","0","0"
"3613 SW OTHELLO ST","98126","1","1","1","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"9228 26TH AVE NW","98117","6","2","1","0","0","0","0","0","0","0","0","2005;2006","Other","0","0","0"
"9701 57TH AVE S","98118","2","5","1","0","0","0","0","0","0","0","0","2016;2021","Other","0","0","0"
"4222 S JUNEAU ST","98118","2","2","1","0","0","0","0","0","0","0","0","2009;2021","Other","0","0","0"
"4915 NE 60TH ST","98115","4","2","1","0","0","0","0","0","0","0","0","2013","Other","0","0","0"
"1464 NW 67TH ST","98117","6","5","1","1","0","0","0","0","0","0","0","2005;2012;2014;2024","Other","0","0","0"
"3429 15TH AVE S","98144","2","11","1","0","0","0","0","0","0","0","1","2004;2007;2008;2009;2023","Other","0","0","0"
"4269 GILMAN AVE W","98199","6","4","1","0","0","0","2","0","0","0","0","2007;2019","Other","0","0","0"
"2558 DEXTER AVE N","98109","7","10","1","1","0","0","0","0","0","0","5","2013;2018;2022;2023;2024;2025","Other","0","0","0"
"6311 18TH AVE NE","98115","4","2","1","0","0","0","0","0","0","0","0","2014;2016","Other","0","0","0"
"7532 A 43RD AVE S","98118","2","3","1","0","0","0","0","0","0","0","0","2021;2023","Other","0","0","0"
"320 NE 97TH ST","98115","5","1","1","0","0","0","0","0","0","0","0","2025","Other","0","0","0"
"3600 NE 42ND ST","98105","4","4","1","0","0","0","0","0","0","0","2","2024;2025","Other","0","0","0"
"137 23RD AVE E","98112","3","6","1","2","0","0","0","0","0","0","1","2019;2021;2022;2023","Other","0","0","0"
"4436 BAKER AVE NW","","6","2","1","0","0","0","0","0","0","0","0","2023","Other","0","0","0"
"2112 29TH AVE S","98144","2","1","1","0","0","0","0","0","0","0","0","2014","Other","0","0","0"
"200 11TH AVE","98122","2","1","1","0","0","0","0","0","0","0","0","2015","Other","0","0","0"
"8301 32ND AVE NW","98117","6","1","1","0","0","0","0","0","0","0","0","2013","Other","0","0","0"
"2437 NW 59TH ST","98107","6","2","1","0","0","0","0","0","0","0","0","2012;2013","Other","0","0","0"
"7253 S TAFT ST","98178","2","39","1","0","0","0","0","0","0","0","10","2018;2019;2020;2021;2022;2023;2024;2025","Other","0","0","0"
"7528 29TH AVE NW","98117","6","1","1","0","0","0","0","0","0","0","1","2025","Other","0","0","0"
"4011 SW MARYLAND PL","98116","1","1","1","0","0","0","0","0","0","0","0","2012","Other","0","0","0"
"9230 12TH AVE SW","98106","1","2","1","0","0","0","0","0","0","0","0","2011;2017","Other","0","0","0"
"1837 N 54TH ST","98103","6","1","1","0","0","0","0","0","0","0","0","2018","Other","0","0","0"
"3427 39TH AVE SW","98116","1","1","1","0","0","0","0","0","0","0","0","2021","Other","0","0","0"
"8308 24TH AVE NW","98117","6","1","1","0","0","0","0","0","1","0","0","2018","Other","0","0","0"
"8025 12TH AVE NE","98115","4","5","1","0","0","0","0","0","0","0","0","2022;2024","Other","0","0","0"
"8026 38TH AVE NE","98115","4","3","1","0","0","0","1","0","0","0","0","2007;2009","Other","0","0","0"
"7035 COVELLO DR S","98108","2","6","1","0","0","0","0","0","0","0","0","2008;2010;2015;2016","Other","0","0","0"
"5134 S MYRTLE ST","98118","2","1","1","0","0","0","1","0","0","0","0","2011","Other","0","0","0"
"7050 50TH AVE NE","98115","4","3","1","0","0","0","0","0","0","0","0","2015;2022","Other","0","0","0"
"1227 S SULLIVAN ST","98108","1","3","1","0","0","0","0","0","0","0","0","2007;2022","Other","0","0","0"
"7737 SUNNYSIDE AVE N","98103","6","3","1","0","0","0","0","0","0","0","0","2006;2017","Other","0","0","0"
"4700 SW ALASKA ST","","1","1","1","0","0","0","0","0","0","0","0","2021","Other","0","0","0"
"9237 COLLEGE WAY N","98103","5","3","1","0","0","0","1","0","0","0","0","2005;2006","Other","0","0","0"
"2402 E INTERLAKEN BLVD","98112","3","5","1","0","0","0","1","0","0","0","0","2009;2010","Other","0","0","0"
"2119 3RD AVE","98121","7","7","1","1","0","0","0","0","0","1","4","2013;2014;2021;2022;2023;2025","Other","0","0","0"
"8614 VASHON VIEW SW","98136","1","1","1","0","0","0","0","0","0","0","0","2018","Other","0","0","0"
"8217 AURORA AVE N","98103","6","9","1","0","0","0","0","0","0","0","5","2018;2019;2020;2021","Other","0","0","0"
"2608 30TH AVE W","98199","6","2","1","0","0","0","0","0","0","0","0","2011;2024","Other","0","0","0"
"5020 15TH AVE NE","","4","10","1","0","0","0","0","0","0","0","1","2018;2019;2020;2022;2024","Other","0","0","0"
"317 MARION ST","98104","7","7","1","2","0","0","0","0","0","1","7","2017;2019;2021;2022;2023","Other","0","0","0"
"3036 60TH AVE SW","98116","1","5","1","0","0","0","0","0","0","0","1","2014;2025","Other","0","0","0"
"707 22ND AVE","98122","3","3","1","0","0","0","0","0","0","0","1","2008;2024","Other","0","0","0"
"5230 SW JACOBSEN RD","98116","1","4","1","0","0","0","0","0","0","0","0","2014;2016;2021","Other","0","0","0"
"7319 16TH AVE SW","98106","1","18","1","0","0","0","0","0","0","0","4","2012;2013;2014;2015;2016;2017;2018","Other","0","0","0"
"8920 26TH AVE NE","98115","4","2","1","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
"9456 13TH AVE SW","98106","1","4","1","0","0","0","0","0","0","0","0","2006;2008;2011","Other","0","0","0"
"4035 45TH AVE SW","98116","1","2","1","0","0","0","0","0","0","0","0","2008;2013","Other","0","0","0"
"2101 BEACON AVE S","98134","2","13","1","1","0","0","0","0","0","0","4","2007;2021;2022;2023;2024","Other","0","0","0"
"6055 33RD AVE S","98118","2","4","1","0","0","0","0","0","0","0","0","2017;2025","Other","0","0","0"
"9832 63RD AVE S","","2","1","1","0","0","0","0","0","0","0","0","2018","Other","0","0","0"
"905 N 104TH ST","98133","5","1","1","0","0","0","0","0","0","0","1","2024","Other","0","0","0"
"2202 3RD AVE N","98103","7","5","1","0","0","0","0","0","0","0","1","2017;2018;2025","Other","0","0","0"
"1437 S DONOVAN ST","98108","1","14","1","0","0","0","0","0","0","0","2","2012;2013;2014;2016;2017;2020;2022;2023","Other","0","0","0"
"2408 SW CLOVERDALE ST","98106","1","2","1","0","0","0","0","0","0","0","0","2009","Other","0","0","0"
"4432 11TH AVE S","98108","2","3","1","0","0","0","0","0","0","0","0","2017;2018;2020","Other","0","0","0"
"4125 36TH AVE SW","","1","1","1","0","0","0","0","0","0","0","0","2022","Other","0","0","0"
"5551 SEWARD PARK AVE S","98118","2","11","1","0","0","0","0","0","0","0","0","2005;2008;2013;2015;2016;2023","Other","0","0","0"
"644 NW 79TH ST","98117","6","2","1","0","0","0","0","0","0","0","0","2012","Other","0","0","0"
"4256 S WILLOW ST","98118","2","11","1","1","0","0","0","0","0","0","1","2017;2018;2019;2022;2023;2025","Other","0","0","0"
"2238 NW 64TH ST","98107","6","1","1","0","0","0","0","0","0","0","0","2015","Other","0","0","0"
"422 MALDEN AVE E","98112","3","11","1","1","0","0","0","0","0","0","0","2005;2007;2009;2010;2011","Other","0","0","0"
"7711 43RD AVE NE","98115","4","10","1","0","0","0","0","0","0","0","0","2011;2013;2015;2016","Other","0","0","0"
"3301 S DAY ST","98144","2","2","1","0","0","0","0","0","0","0","0","2010","Other","0","0","0"
"4426 B FRANCIS AVE N","98103","6","2","1","0","0","0","0","0","0","0","0","2019","Other","0","0","0"
"4516 SW CONCORD ST","98136","1","10","1","0","0","0","0","0","0","0","0","2006;2007;2008;2009;2011","Other","0","0","0"
"333 NE 59TH ST","98105","6","2","1","0","0","0","0","0","0","0","0","2010;2025","Other","0","0","0"
"1703 39TH AVE","98122","3","4","1","0","0","0","0","0","0","0","0","2010;2023","Other","0","0","0"
"4455 S MORGAN ST","98118","2","6","1","0","0","0","0","0","0","0","1","2019;2021","Other","0","0","0"
"7310 8TH AVE S","98108","1","1","1","0","0","0","0","0","0","0","0","2004","Other","0","0","0"
"6524 23RD AVE SW","98106","1","10","1","1","0","0","0","0","0","1","0","2011;2021;2022","Other","0","0","0"
"1031 NE 96TH ST","98115","5","1","1","0","0","0","0","0","0","0","0","2012","Other","0","0","0"
"12530 9TH AVE NW","98177","5","3","1","0","0","0","0","0","0","0","1","2018","Other","0","0","0"
"832 28TH AVE S","98144","3","2","1","0","0","0","0","0","0","0","0","2018","Other","0","0","0"
"135 NE 59TH ST","98105","6","4","1","0","0","0","0","0","0","0","0","2007;2018;2025","Other","0","0","0"
"933 C N 97TH ST","98103","5","1","1","0","0","0","0","0","0","0","0","2020","Other","0","0","0"
"615 NW 49TH ST","98107","6","2","1","0","0","0","0","0","0","0","2","2019","Other","0","0","0"
"6727 37TH AVE SW","98126","1","7","1","0","0","0","0","0","1","0","0","2018;2019;2021","Other","0","0","0"
"938 19TH AVE","98122","3","1","1","0","0","0","0","0","0","0","0","2015","Other","0","0","0"
"1000 NE 135TH ST","98125","5","8","1","0","0","0","0","0","0","0","0","2010;2011;2012;2014;2019;2023","Other","0","0","0"
"6970 23RD AVE SW","98106","1","2","1","0","0","0","0","0","0","0","0","2009","Other","0","0","0"
"7737 2ND AVE NE","98115","6","2","1","0","0","0","0","0","0","0","0","2024","Other","0","0","0"
"9016 12TH AVE SW","98106","1","13","1","0","0","0","0","0","0","0","1","2012;2013;2015;2016;2018;2022","Other","0","0","0"
"6533 SEAVIEW AVE NW","98117","6","2","1","0","1","0","0","0","0","0","0","2008;2025","Other","0","0","0"
"1370 ALKI AVE SW","98116","1","3","1","1","0","0","0","0","1","1","1","2022;2023","Other","0","0","0"
"2400 W COMMODORE WAY","98199","6","1","1","0","0","0","0","0","0","0","0","2014","Other","0","0","0"
"101 NW 85TH ST","98117","6","13","1","0","0","0","0","0","0","0","0","2005;2007;2008;2009;2013;2016","Other","0","0","0"
"874 E GWINN PL","98102","3","3","1","0","0","0","0","0","0","0","0","2023","Other","0","0","0"
"2451 THORNDYKE AVE W","","7","5","1","0","0","0","0","0","0","0","1","2008;2016;2021;2025","Other","0","0","0"
"3846 ASHWORTH AVE N","98103","4","3","1","0","0","0","0","0","0","0","0","2017;2020","Other","0","0","0"
"5311 2ND AVE NW","98107","6","3","1","0","0","0","0","0","0","0","0","2010;2024","Other","0","0","0"
"4128 14TH AVE S","98108","2","4","1","0","0","0","0","0","0","0","2","2014;2019;2024","Other","0","0","0"
"2101 35TH AVE W","98199","6","4","1","0","0","0","0","1","0","0","1","2020;2023;2025","Other","0","0","0"
"8038 42ND AVE NE","98115","4","1","1","0","0","0","0","0","0","0","0","2010","Other","0","0","0"
"520 S JACKSON ST","98104","2","3","1","0","0","0","0","0","0","0","1","2006;2021;2023","Other","0","0","0"
"3049 62ND AVE SW","98116","1","1","1","0","0","0","0","0","0","0","0","2014","Other","0","0","0"
"4322 SW ROXBURY ST","98136","1","4","1","0","0","0","0","0","0","0","0","2014;2020;2023","Other","0","0","0"
"3712 59TH AVE SW","98116","1","6","1","0","0","0","0","0","0","0","1","2004;2017;2019;2022","Other","0","0","0"
"3712 38TH AVE SW","98126","1","1","1","0","0","0","0","0","0","0","0","2010","Other","0","0","0"
"6616 43RD AVE S","98118","2","1","1","0","0","0","0","0","0","0","0","2005","Other","0","0","0"
"5323 NE 42ND ST","98105","4","3","1","0","0","0","0","0","0","0","0","2014;2017","Other","0","0","0"
"2344 DELMAR DR E","","3","7","1","0","0","0","0","0","0","0","0","2018;2019","Other","0","0","0"
"4611 35TH AVE SW","98126","1","3","1","1","0","0","0","0","1","0","1","2014;2025","Other","0","0","0"
"3800 AURORA AVE N","98103","4","3","1","0","0","0","0","0","1","0","0","2016;2021;2024","Other","0","0","0"
"1136 NW 50TH ST","98107","6","1","1","0","0","0","0","0","0","0","0","2020","Other","0","0","0"
"833 NW 52ND ST","98107","6","1","1","0","0","0","0","0","0","0","0","2016","Other","0","0","0"
"1113 NE 42ND ST","98105","4","2","1","0","0","0","0","0","0","0","0","2019;2020","Other","0","0","0"
"5745 35TH AVE NE","98105","4","2","1","0","0","0","0","0","0","0","0","2016;2019","Other","0","0","0"
"9006 CORLISS AVE N","98103","5","2","1","0","0","0","0","0","0","0","0","2012","Other","0","0","0"
"10243 63RD AVE S","98178","2","1","1","0","0","0","0","0","0","0","0","2014","Other","0","0","0"
"7618 8TH AVE NW","98117","6","3","1","0","0","0","0","0","0","0","0","2010;2025","Other","0","0","0"
"3303 31ST AVE SW","98126","1","8","1","0","0","0","0","0","0","0","2","2016;2018;2022","Other","0","0","0"
"6622 EAST GREEN LAKE WAY N","98103","6","4","1","0","0","0","0","0","0","0","0","2008;2011;2012","Other","0","0","0"
"2501 WESTERN AVE","98121","7","9","1","0","0","0","0","0","0","0","1","2012;2013;2014;2019;2021;2022;2025","Other","0","0","0"
"9625 59TH AVE S","98118","2","2","1","0","0","0","0","0","0","0","0","2023","Other","0","0","0"
"10339 WALLINGFORD AVE N","98133","5","1","1","0","0","0","0","0","0","0","0","2014","Other","0","0","0"
"5123 S CLOVERDALE PL","98118","2","1","1","0","0","0","0","0","0","0","0","2019","Other","0","0","0"
"902 N 86TH ST","98103","5","5","1","2","0","0","0","0","0","0","0","2023;2024","Other","0","0","0"
"323 NW 89TH ST","98117","5","1","1","0","0","0","0","0","0","0","1","2021","Other","0","0","0"
"2416 EYRES PL W","98199","6","4","1","0","0","0","0","0","0","0","0","2015;2018","Other","0","0","0"
"5508 20TH AVE S","98108","2","13","1","1","0","0","0","0","0","1","0","2007;2013;2015;2016;2017;2018;2019","Other","0","0","0"
"2339 12TH AVE S","98144","2","1","1","0","0","0","0","0","0","0","0","2014","Other","0","0","0"
"2853 SW YANCY ST","98126","1","3","1","0","0","0","0","0","0","0","0","2005;2007;2014","Other","0","0","0"
"6317 48TH AVE SW","98136","1","3","1","0","0","0","2","0","0","0","0","2015;2016;2017","Other","0","0","0"
"740 DENNY WAY","98109","7","1","1","0","0","0","0","0","0","0","0","2011","Other","0","0","0"
"7403 48TH AVE S","98118","2","6","1","0","0","0","0","0","0","0","0","2011;2023","Other","0","0","0"
"2222 NE 92ND ST","","4","1","1","0","0","0","0","0","0","0","1","2018","Other","0","0","0"
"5225 12TH AVE NE","98105","4","3","1","0","0","0","0","0","0","0","0","2016;2019;2024","Other","0","0","0"
"625 N 130TH ST","98133","5","5","1","1","0","0","0","0","0","1","1","2005;2018;2023;2025","Other","0","0","0"
"10000 LAKE SHORE BLVD NE","98125","5","1","1","0","0","0","0","0","0","0","0","2016","Other","0","0","0"
"9019 3RD AVE S","98108","1","5","1","0","0","0","0","0","0","0","0","2008;2022;2023","Other","0","0","0"
"929 29TH AVE S","98144","3","5","1","0","0","0","0","0","0","0","1","2010;2015;2019","Other","0","0","0"
"8318 EARL AVE NW","98117","6","1","1","0","0","0","0","0","0","0","0","2005","Other","0","0","0"
"1229 NE 96TH ST","98115","5","1","1","0","0","0","0","0","0","0","1","2021","Other","0","0","0"
"1717 12TH AVE","98122","3","9","1","1","0","0","1","0","0","1","3","2013;2017;2021;2022;2023;2025","Other","0","0","0"
"4736 CALIFORNIA AVE SW","98116","1","2","1","0","0","0","0","0","0","0","1","2018;2021","Other","0","0","0"
"108 W PROSPECT ST","98119","7","1","1","0","0","0","0","0","0","0","0","2012","Other","0","0","0"
"4503 45TH AVE SW","98116","1","7","1","0","0","0","0","0","0","0","0","2007;2008;2011","Other","0","0","0"
"4833 S HOLDEN ST","98118","2","2","1","0","0","0","0","0","0","0","1","2012;2015","Other","0","0","0"
"9415 35TH AVE SW","98126","1","1","1","0","0","0","0","0","0","0","0","2007","Other","0","0","0"
"6039 7TH AVE NW","98107","6","3","1","0","0","0","0","0","0","0","0","2014;2018;2023","Other","0","0","0"
"8826 30TH AVE SW","98126","1","1","1","0","0","0","0","0","0","0","0","2023","Other","0","0","0"
"2230 NW 57TH ST","98107","6","8","1","0","0","0","0","0","0","0","1","2016;2024;2025","Other","0","0","0"
"919 SW AUSTIN ST","98106","1","2","1","0","0","0","0","0","0","0","2","2021","Other","0","0","0"
"5514 25TH AVE NE","98105","4","3","1","1","0","0","0","0","1","0","0","2019;2025","Other","0","0","0"
"1610 S KING ST","98144","3","1","1","0","0","0","0","1","0","0","0","2023","Other","0","0","0"
"230 23RD AVE E","98112","3","7","1","0","0","0","1","0","0","0","4","2021;2022;2023;2024","Other","0","0","0"
"4131 41ST AVE S","98118","2","3","1","0","0","0","0","0","0","0","1","2021;2023;2024","Other","0","0","0"
