"Address","Zip","District","TotalRecords","SevereConditions","DisplacementNotices","RedevelopPermits","ExemptionPermits","NoHeatComplaints","NoWaterComplaints","SewageComplaints","EvictionNotices","OpenUnresolved","YearsActive","Typology","chronic_severe","severe_plus_rdev","disp_plus_rdev"
"1308 12TH AVE S","98144","2","38","18","1","0","0","0","0","6","1","0","2004;2006;2008;2009;2010;2011;2012;2013;2014;2015;2016;2025","ChronicNeglector","1","0","0"
"321 BROADWAY E","98102","3","29","18","0","0","0","10","0","1","0","2","2007;2008;2009;2011;2014;2019;2020;2021;2022;2023;2024","ChronicNeglector|UtilityLever","1","0","0"
"5033 37TH AVE S","98118","2","33","18","0","0","0","0","0","0","0","3","2006;2008;2009;2010;2011;2012;2013;2018;2019;2022;2023;2024;2025","ChronicNeglector","1","0","0"
"906 E JOHN ST","98102","3","31","17","3","0","0","8","0","0","3","9","2019;2020;2021;2022;2023;2024;2025","ChronicNeglector|UtilityLever","1","0","0"
"14337 32ND AVE NE","98125","5","42","17","1","0","0","1","0","4","0","4","2004;2006;2008;2013;2014;2015;2018;2019;2020;2023;2024","ChronicNeglector","1","0","0"
"155 21ST AVE","98122","3","46","17","10","0","0","1","7","0","1","14","2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector|UtilityLever","1","0","0"
"1317 BOREN AVE","98101","3","50","17","3","0","0","9","0","1","2","14","2009;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector|UtilityLever","1","0","0"
"4840 CALIFORNIA AVE SW","98116","1","26","17","0","0","0","2","0","0","0","6","2008;2009;2011;2012;2013;2014;2016;2017;2018;2019;2020;2022;2023","ChronicNeglector","1","0","0"
"165 17TH AVE","98122","3","22","17","0","0","0","1","0","0","0","2","2004;2005;2009;2013;2014;2022;2023","ChronicNeglector","1","0","0"
"524 BOYLSTON AVE E","98102","3","37","17","6","0","0","4","0","1","1","14","2007;2008;2015;2018;2019;2021;2022;2023;2024;2025","ChronicNeglector|UtilityLever","1","0","0"
"416 E HARRISON ST","98102","3","29","16","1","0","0","6","0","0","0","1","2004;2006;2007;2011;2016;2017;2018;2020;2022;2023;2025","ChronicNeglector|UtilityLever","1","0","0"
"7325 RAINIER AVE S","98118","2","36","16","4","0","0","0","1","0","2","10","2006;2011;2015;2017;2019;2022;2023;2024","ChronicNeglector","1","0","0"
"213 1ST AVE S","98104","1","29","16","3","0","0","7","0","0","1","4","2011;2013;2014;2018;2019;2020;2022;2023;2024","ChronicNeglector|UtilityLever","1","0","0"
"9103 8TH AVE S","98108","1","49","16","2","0","0","2","0","5","1","10","2005;2009;2014;2015;2016;2017;2018;2020;2021;2022;2023;2024;2025","ChronicNeglector","1","0","0"
"3642 33RD AVE S","98144","2","72","16","3","0","0","1","0","0","2","21","2007;2008;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector","1","0","0"
"5913 RAINIER AVE S","98118","2","38","16","10","0","0","2","0","0","8","5","2004;2006;2007;2009;2012;2013;2014;2015;2016;2018;2019;2020;2022;2025","ChronicNeglector","1","0","0"
"1257 S CLOVERDALE ST","98108","1","24","16","0","0","0","6","1","0","0","0","2013;2014;2015;2016","ChronicNeglector|UtilityLever","1","0","0"
"555 S CLOVERDALE ST","98108","1","27","16","1","0","0","0","1","0","0","2","2004;2007;2010;2011;2012;2014;2015;2021;2022;2023;2024","ChronicNeglector","1","0","0"
"517 9TH AVE","98104","2","21","16","1","0","0","15","1","0","1","8","2015;2019;2021;2022;2023;2025","ChronicNeglector|UtilityLever","1","0","0"
"110 VINE ST","98121","7","30","16","1","0","0","2","0","0","0","12","2004;2005;2007;2010;2013;2014;2019;2020;2022;2023;2024;2025","ChronicNeglector","1","0","0"
"1718 MELROSE AVE","98122","3","39","16","2","0","0","0","0","2","2","12","2003;2004;2008;2011;2014;2015;2016;2017;2018;2021;2022;2023;2024;2025","ChronicNeglector","1","0","0"
"6285 AIRPORT WAY S","98108","1","23","16","4","0","0","0","0","0","1","9","2013;2014;2016;2018;2019;2020;2021;2022;2023;2025","ChronicNeglector","1","0","0"
"4238 12TH AVE NE","98105","4","29","15","6","0","0","6","0","3","0","1","2008;2009;2010;2011;2012;2013;2014;2018;2019","ChronicNeglector|UtilityLever","1","0","0"
"1512 BOYLSTON AVE","98122","3","31","15","3","0","0","6","0","3","2","5","2006;2011;2012;2013;2014;2015;2017;2018;2020;2021;2022;2023;2024;2025","ChronicNeglector|UtilityLever","1","0","0"
"2302 4TH AVE","98121","7","28","15","1","0","0","7","3","0","0","4","2004;2005;2006;2009;2012;2013;2015;2017;2019;2020;2022;2024","ChronicNeglector|UtilityLever","1","0","0"
"1019 E PIKE ST","98122","3","23","15","1","0","0","7","0","0","1","2","2005;2012;2013;2015;2017;2019;2020;2021;2022;2025","ChronicNeglector|UtilityLever","1","0","0"
"510 BROADWAY","98122","2","44","15","8","0","0","7","0","0","5","11","2006;2008;2012;2013;2017;2018;2019;2021;2022;2023;2024;2025","ChronicNeglector|UtilityLever","1","0","0"
"11038 LAKE CITY WAY NE","98125","5","37","15","8","0","0","0","0","0","6","18","2007;2009;2011;2012;2014;2015;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector","1","0","0"
"2230 4TH AVE","98121","7","30","15","2","0","0","4","0","0","1","10","2006;2011;2016;2017;2018;2021;2022;2023;2024;2025","ChronicNeglector|UtilityLever","1","0","0"
"747 N 135TH ST","98133","5","55","15","8","0","0","3","1","0","3","12","2004;2006;2010;2012;2014;2015;2016;2017;2018;2019;2021;2022;2023;2024;2025","ChronicNeglector|UtilityLever","1","0","0"
"1412 SUMMIT AVE","98122","3","41","15","5","0","0","9","1","0","4","13","2013;2014;2015;2016;2017;2019;2020;2022;2023;2024;2025","ChronicNeglector|UtilityLever","1","0","0"
"3430 RENTON PL S","98144","2","33","15","2","0","0","0","0","2","1","4","2006;2007;2008;2010;2011;2012;2013;2014;2015;2016;2021;2022;2023;2024;2025","ChronicNeglector","1","0","0"
"14033 32ND AVE NE","98125","5","19","14","2","0","0","0","0","0","1","9","2014;2021;2022;2023;2024;2025","ChronicNeglector","1","0","0"
"4106 DELRIDGE WAY SW","98106","1","33","14","0","0","0","0","0","0","0","1","2007;2009;2012;2013;2014;2015;2016;2018;2019;2020;2022;2023;2025","ChronicNeglector","1","0","0"
"1203 JAMES ST","98104","2","48","14","9","0","0","2","1","1","2","14","2007;2009;2010;2012;2013;2015;2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector|UtilityLever","1","0","0"
"2602 4TH AVE","98121","7","35","14","3","0","0","2","0","0","0","10","2009;2011;2012;2013;2015;2019;2021;2022;2023;2024;2025","ChronicNeglector","1","0","0"
"420 PONTIUS AVE N","98109","7","50","14","3","0","0","16","0","1","1","18","2012;2014;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector|UtilityLever","1","0","0"
"9427 25TH AVE NE","98115","4","27","14","0","0","0","0","0","0","0","1","2004;2005;2008;2011;2012;2014;2015;2016;2017;2018;2019","ChronicNeglector","1","0","0"
