address_norm,example_raw_address,DISTRICT,elevator_complaint_count,first_elevator_complaint_date,last_elevator_complaint_date,sfd_elevator_rescue_count,first_rescue_date,last_rescue_date,sfd_rescue_at_address_flag,conveyance_active_record_count,conveyance_active_flag,conveyance_active_record_numbers,conveyance_active_record_types,conveyance_active_property_project_names,conveyance_active_statuses,conveyance_active_first_created_date,conveyance_active_last_created_date,conveyance_no_cert_record_count,conveyance_no_cert_flag,conveyance_no_cert_record_numbers,conveyance_no_cert_record_types,conveyance_no_cert_property_project_names,conveyance_no_cert_statuses,conveyance_no_cert_first_created_date,conveyance_no_cert_last_created_date,has_both_complaint_and_rescue_flag,days_first_complaint_to_first_rescue
1102 8TH AVE,1102 8TH AVE,7.0,14,2018-06-25,2025-08-06,16,2021-05-16,2023-10-09,True,2,True,EQP-CY-03202 | EQP-CY-03200,Conveyance Equipment Certification,"3-P - Cabled Elevator, City # 736 | 1-P - Cabled Elevator, City # 734",Active,1990-04-04,1990-04-04,1,True,EQP-CY-03201,Conveyance Equipment Certification,"2-P - Cabled Elevator, City # 735",Operating Without Certificate,1990-04-04,1990-04-04,True,1056.0
1430 2ND AVE,1430 2nd AVE,7.0,2,2023-08-30,2024-10-27,16,2020-01-17,2025-10-23,True,6,True,EQP-CY-08950 | EQP-CY-08949 | EQP-CY-08948 | EQP-CY-08947 | EQP-CY-08946 | EQP-CY-08945,Conveyance Equipment Certification,"E - Cabled Elevator, City # 12318 | F - Cabled Elevator, City # 12319 | D - Cabled Elevator, City # 12230 | C - Cabled Elevator, City # 12229 | B - Cabled Elevator, City # 12228 | A - Cabled Elevator, City # 12227",Active,2018-02-16,2018-02-16,0,False,,,,,,,True,-1321.0
888 WESTERN AVE,888 WESTERN AVE,7.0,2,2024-01-30,2024-05-01,15,2021-05-07,2025-12-20,True,4,True,EQP-CY-07689 | EQP-CY-07688 | EQP-CY-07687 | EQP-CY-07686,Conveyance Equipment Certification,"4 - Hydraulic Elevator, City # 10360 | 3 - Cabled Elevator, City # 10304 | 2 - Cabled Elevator, City # 10303 | 1 - Cabled Elevator, City # 10302",Active,2012-12-19,2012-12-19,0,False,,,,,,,True,-998.0
1600 2ND AVE,1600 2ND AVE,7.0,5,2018-08-05,2025-10-02,14,2023-08-09,2025-06-20,True,0,False,,,,,,,5,True,EQP-CY-08803 | EQP-CY-08802 | EQP-CY-08801 | EQP-CY-08800 | EQP-CY-08799,Conveyance Equipment Certification,"5-P - Cabled Elevator, City # 11878 | 4-P - Cabled Elevator, City # 11877 | 3-P - Cabled Elevator, City # 11876 | 2-P - Cabled Elevator, City # 11875 | 1-P - Cabled Elevator, City # 11874",Operating Without Certificate,2017-08-31,2017-08-31,True,1830.0
1811 EASTLAKE AVE,1811 EASTLAKE AVE,7.0,3,2022-08-19,2025-07-21,13,2021-06-15,2025-07-24,True,1,True,EQP-CY-06442,Conveyance Equipment Certification,"Cabled Elevator, City # 8578",Active,2006-02-01,2006-02-01,0,False,,,,,,,True,-430.0
809 OLIVE WAY,809 OLIVE WAY,7.0,3,2023-05-05,2024-05-18,12,2021-02-26,2024-04-28,True,4,True,EQP-CY-07879 | EQP-CY-07151 | EQP-CY-07150 | EQP-CY-07149,Conveyance Equipment Certification,"1-HL - Accessibility Lift (vertical included), City # 11254 | 3-P - Cabled Elevator, City # 9483 | 2-P - Cabled Elevator, City # 9482 | 1-P - Cabled Elevator, City # 9481",Active,2009-08-18,2014-01-10,0,False,,,,,,,True,-798.0
1831 8TH AVE,1831 8TH AVE,7.0,1,2021-09-13,2021-09-13,12,2021-05-06,2025-12-30,True,2,True,EQP-CY-05982 | EQP-CY-05981,Conveyance Equipment Certification,"2 - Hydraulic Elevator, City # 7945 | 1 - Hydraulic Elevator, City # 7944",Active,2002-06-12,2002-06-12,0,False,,,,,,,True,-130.0
50 UNIVERSITY ST,50 UNIVERSITY ST,7.0,2,2024-04-02,2024-05-07,11,2020-02-01,2024-07-07,True,3,True,EQP-CY-08647 | EQP-CY-08648 | EQP-CY-08646,Conveyance Equipment Certification,"2-P - Cabled Elevator, City # 11905 | VPL-1 - Accessibility Lift (vertical included), City # 12140 | 1-P - Cabled Elevator, City # 11904",Active,2017-01-24,2017-01-24,0,False,,,,,,,True,-1522.0
1701 DEXTER AVE N,1701 DEXTER AVE N,7.0,1,2021-12-20,2021-12-20,11,2021-08-06,2025-10-26,True,0,False,,,,,,,1,True,EQP-CY-08506,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 11789",Operating Without Certificate,2016-07-21,2016-07-21,True,-136.0
2400 4TH AVE,2400 4TH AVE,7.0,1,2020-04-07,2020-04-07,11,2021-03-28,2025-12-22,True,4,True,EQP-CY-05330 | EQP-CY-05329 | EQP-CY-05328 | EQP-CY-05327,Conveyance Equipment Certification,"4 - Hydraulic Elevator, City # 6864 | 3 - Hydraulic Elevator, City # 6863 | 2 - Hydraulic Elevator, City # 6862 | 1 - Hydraulic Elevator, City # 6861",Active,1999-05-24,1999-05-24,0,False,,,,,,,True,355.0
919 STEWART ST,919 STEWART ST,7.0,1,2025-09-30,2025-09-30,11,2019-12-15,2025-11-16,True,0,False,,,,,,,0,False,,,,,,,True,-2116.0
600 7TH AVE,600 7TH AVE,7.0,2,2021-01-21,2021-03-10,10,2024-03-09,2025-05-28,True,2,True,EQP-CY-04375 | EQP-CY-04374,Conveyance Equipment Certification,"2-P - Hydraulic Elevator, City # 5862 | 1-P - Hydraulic Elevator, City # 5861",Active,1991-11-20,1991-11-20,0,False,,,,,,,True,1143.0
823 MADISON ST,823 MADISON ST,7.0,2,2019-11-15,2019-11-22,10,2020-04-22,2022-03-04,True,0,False,,,,,,,0,False,,,,,,,True,159.0
