address_norm,example_raw_address,DISTRICT,elevator_complaint_count,first_elevator_complaint_date,last_elevator_complaint_date,sfd_elevator_rescue_count,first_rescue_date,last_rescue_date,sfd_rescue_at_address_flag,conveyance_active_record_count,conveyance_active_flag,conveyance_active_record_numbers,conveyance_active_record_types,conveyance_active_property_project_names,conveyance_active_statuses,conveyance_active_first_created_date,conveyance_active_last_created_date,conveyance_no_cert_record_count,conveyance_no_cert_flag,conveyance_no_cert_record_numbers,conveyance_no_cert_record_types,conveyance_no_cert_property_project_names,conveyance_no_cert_statuses,conveyance_no_cert_first_created_date,conveyance_no_cert_last_created_date,has_both_complaint_and_rescue_flag,days_first_complaint_to_first_rescue
14027 LAKE CITY WAY NE,14027 LAKE CITY WAY NE,5.0,1,2023-04-05,2023-04-05,10,2020-10-10,2025-11-26,True,7,True,EQP-CY-07959 | EQP-CY-07958 | EQP-CY-07957 | EQP-CY-07956 | EQP-CY-07955 | EQP-CY-07954 | EQP-CY-07953,Conveyance Equipment Certification,"5B - Cabled Elevator, City # 10477 | 5A - Cabled Elevator, City # 10476 | 1 - Cabled Elevator, City # 10471 | 3 - Cabled Elevator, City # 10473 | 2 - Cabled Elevator, City # 10472 | 4B - Cabled Elevator, City # 10475 | 4A - Cabled Elevator, City # 10474",Active,2014-05-22,2014-05-22,1,True,EQP-CY-07960,Conveyance Equipment Certification,"1 - Accessibility Lift (vertical included), City # 11265",Operating Without Certificate,2014-05-22,2014-05-22,True,-907.0
525 NE NORTHGATE WAY,525 NE NORTHGATE WAY,5.0,3,2022-12-18,2025-06-05,9,2020-01-14,2025-07-26,True,0,False,,,,,,,4,True,EQP-CY-08063 | EQP-CY-08062 | EQP-CY-08061 | EQP-CY-08060,Conveyance Equipment Certification,"4 - Cabled Elevator, City # 11297 | 3 - Cabled Elevator, City # 11296 | 2 - Cabled Elevator, City # 11295 | 1 - Cabled Elevator, City # 11294",Operating Without Certificate,2014-09-30,2014-09-30,True,-1069.0
2820 NE 127TH ST,2820 NE 127TH ST,5.0,9,2025-05-23,2025-07-03,8,2021-12-17,2025-05-25,True,0,False,,,,,,,0,False,,,,,,,True,-1253.0
14200 LINDEN AVE N,14200 LINDEN AVE N,5.0,3,2019-10-24,2021-05-19,7,2021-08-13,2025-07-16,True,0,False,,,,,,,5,True,EQP-CY-07206 | EQP-CY-07181 | EQP-CY-07161 | EQP-CY-07160 | EQP-CY-07159,Conveyance Equipment Certification,"5-PBD - Cabled Elevator, City # 9720 | 4-PBC - Cabled Elevator, City # 9719 | 3-PBB - Cabled Elevator, City # 9718 | 2-PBA - Cabled Elevator, City # 9717 | 1-PNW - Cabled Elevator, City # 9616",Operating Without Certificate,2009-09-14,2009-11-20,True,659.0
12748 GREENWOOD AVE N,12748 GREENWOOD AVE N,5.0,2,2025-04-15,2025-04-15,7,2022-09-21,2023-02-20,True,1,True,EQP-CY-01875,Conveyance Equipment Certification,"1-P - Hydraulic Elevator, City # 2893",Active,1989-10-27,1989-10-27,0,False,,,,,,,True,-937.0
12317 15TH AVE NE,12317 15TH AVE NE,5.0,1,2024-08-19,2024-08-19,6,2021-07-28,2025-12-15,True,0,False,,,,,,,1,True,EQP-CY-05995,Conveyance Equipment Certification,"1 - Hydraulic Elevator, City # 7970",Operating Without Certificate,2002-08-05,2002-08-05,True,-1118.0
13000 LINDEN AVE N,13000 LINDEN AVE N,5.0,8,2015-03-26,2023-10-16,5,2023-10-07,2026-01-16,True,3,True,EQP-CY-06658 | EQP-CY-06657 | EQP-CY-06656,Conveyance Equipment Certification,"3-NE - Hydraulic Elevator, City # 8834 | 2-N - Hydraulic Elevator, City # 8833 | 1-S - Hydraulic Elevator, City # 8832",Active,2007-04-02,2007-04-02,0,False,,,,,,,True,3117.0
13280 LINDEN AVE N,13280 LINDEN AVE N,5.0,2,2024-09-17,2024-10-16,5,2021-07-26,2024-11-19,True,0,False,,,,,,,2,True,EQP-CY-09022 | EQP-CY-09021,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 12394 | 2-P - Cabled Elevator, City # 12395",Operating Without Certificate,2018-04-19,2018-04-19,True,-1149.0
8610 AURORA AVE N,8610 AURORA AVE N,5.0,1,2025-07-24,2025-07-24,4,2024-02-26,2025-05-09,True,2,True,EQP-CY-10806 | EQP-CY-10805,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 14443 | 2-P - Cabled Elevator, City # 14444",Active,2023-11-28,2023-11-28,0,False,,,,,,,True,-514.0
10306 MERIDIAN AVE N,10306 MERIDIAN AVE N,5.0,2,2025-07-02,2025-07-07,3,2024-10-25,2026-01-08,True,2,True,EQP-CY-00656 | EQP-CY-00655,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 3296 | 2-P - Cabled Elevator, City # 3295",Active,1989-04-03,1989-04-03,0,False,,,,,,,True,-250.0
