RANK,ADDRESS,COMPLAINTS_IN_90_DAYS,TOTAL_COMPLAINTS,OPEN_UNRESOLVED,COMPLETED,WORST_WINDOW,FIRST_COMPLAINT,LAST_COMPLAINT,RECORD_TYPES,SDCI_INSPECTORS_NAMED,PIN,ACCNT_NUM,BUILDING_NAME,BUILDING_COMMENTS,USE_TYPE,ZONING,LOT_SQFT,ACRES,LAND_VALUE,IMPROVEMENT_VALUE,TOTAL_ASSESSED_VALUE,TAX_YEAR,LEGAL_DESC,LAT,LON,ZIP,KNOWN_CASE_LABEL,FLAGS,CURRENT_OWNER,PREVIOUS_OWNER,LAST_SALE_DATE,LAST_SALE_PRICE,TOTAL_SALES,SALE_HISTORY,APT_UNITS,APT_STORIES,APT_YR_BUILT,APT_CONDITION,HAS_ELEVATORS,APT_AVG_UNIT_SIZE,COMM_GROSS_SQFT
33,308 4TH AVE S,20,160,0,104,2019-11-09 to 2020-02-07,2004-09-03,2025-09-29,"Request:141, Case:19",,5247801370,524780137005,ADDISON ON FOURTH (low income),,Apartment(Subsidized),IDR/C 125/150-270,17270,0.39646464,8030500,9582300,17612800,2026,MAYNARDS D S PLAT PCL A SEATTLE LBA #3016463 REC# 20140826900008 SD LBA BEING - LOTS 1 & 2 & 3 TGW POR LOTS 4 THRU 8 TGW VAC ALLEY ADJ LESS C & M RGTS,47.59986425,-122.32875108,98104,THE ADDISON ON FOURTH - Subsidized Low Income,KNOWN_CASE | EXTREME_VOLUME | LLC_OWNED,GRE 4TH AVENUE SOUTH LLC,GRE DOWNTOWNER LLC,08/15/2014,98280,5,08/15/2014:GRE 4TH AVENUE SOUTH LLC($98280) | 08/15/2014:GRE DOWNTOWNER LLC($98280) | 06/06/2012:GRE DOWNTOWNER LLC($12517655) | 04/18/2023:CENTRAL PUGET SOUND REGIONAL TRASNSIT AUTHORITY($0) | 02/23/2023:KING COUNTY A HOME RULE CHARTER COUNTY AND POLITIC($0),254,9,1910,4,Y,243,162990
57,1727 SUMMIT AVE,16,97,0,76,2024-12-02 to 2025-03-02,2007-11-05,2025-10-30,"Request:73, Case:24",,8804901095,880490109506,The LARKSPUR  APTS,"The Larkspur Apts, 5 sty 50 units",Apartment,MR (M),18600,0.42699724,7440000,1000,7441000,2026,UNION ADD SUPPLEMENTARY PLAT      2-3-4 & N 5 FT OF 5,47.61733036,-122.32600854,98122,LARKSPUR - Chris Garvin/CRE Real Estate/Section 8 IMPR=$1000 RED FLAG,KNOWN_CASE | SUSPICIOUS_IMPR_VALUE_1000,SUMMIT HOUSE APARTMENTS REAL ESTATE INVESTMENTS LL,NEYHART DOUGLAS J,11/03/2003,0,4,11/03/2003:SUMMIT HOUSE APARTMENTS REAL ESTATE INVESTMENTS LL($0) | 05/01/1993:NEYHART DOUGLAS J($0) | 04/16/2001:NEYHART DOUGLAS J($0) | 03/12/2024:CRE SUMMIT LLC($6795000),50,5,1960,4,Y,760,46527
65,1102 8TH AVE,15,118,0,78,2022-12-09 to 2023-03-09,2003-12-19,2025-10-13,"Request:110, Case:8",,1979200186,197920018607,LOWELL APT'S,"brck 9 stry apt bldg, brwn/tan trm",Apartment,HR (M),9600,0.22038567,5520000,19810000,25330000,2026,DENNYS A A EXTENSION TERRYS 1ST   LOT 8 & SLY 20 FT OF 5,47.60892128,-122.32895805,98101,LOWELL EMERSON Lowell Bldg - Ray Russo/Joanne Somerville/MMC LLC,KNOWN_CASE | LLC_OWNED,LOWELL EMERSON ASSOCIATES LLC,,12/31/1997,7460400,1,12/31/1997:LOWELL EMERSON ASSOCIATES LLC($7460400),158,11,1928,3,Y,386,81776
169,1110 8TH AVE,10,72,0,48,2024-05-28 to 2024-08-26,2008-06-06,2025-10-28,"Request:64, Case:8",,1979200185,197920018508,EMERSON APT'S,,Apartment,HR (M),4800,0.11019283,2760000,3775000,6535000,2026,DENNYS A A EXTENSION TERRYS 1ST   NLY 40 FT,47.60906396,-122.3291858,98101,LOWELL EMERSON Emerson Bldg - Ray Russo/Joanne Somerville/MMC LLC,KNOWN_CASE | LLC_OWNED,LOWELL EMERSON ASSOCIATES LLC,,12/31/1997,7460400,1,12/31/1997:LOWELL EMERSON ASSOCIATES LLC($7460400),37,10,1928,3,Y,437,24000
