LANDLORD_RANK,OWNER,ADDRESS,BUILDING_NAME,ZIP,APT_UNITS,APT_YR_BUILT,APT_STORIES,TOTAL_COMPLAINTS,COMPLAINTS_90D,OPEN_UNRESOLVED,FIRST_COMPLAINT,LAST_COMPLAINT,WORST_90D_WINDOW,FLAGS,KNOWN_CASE,LAND_VALUE,IMPROVEMENT_VALUE,TOTAL_ASSESSED_VALUE,LAST_SALE_DATE,LAST_SALE_PRICE,PREVIOUS_OWNER,SALE_HISTORY,PIN
1,UNKNOWN / NOT IN SALE RECORDS,3800 WEST MARGINAL WAY SW,,,,,,3,3,0,2020-08-05,2020-08-05,2020-08-05 to 2020-11-03,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,5200 B RAVENNA AVE NE,,,,,,3,3,0,2020-09-04,2020-09-11,2020-09-04 to 2020-12-03,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,7041 11TH AVE NW,,98117,,,,3,3,0,2020-09-21,2020-09-25,2020-09-21 to 2020-12-20,,,714000,146000,860000,,,,,461004170
1,UNKNOWN / NOT IN SALE RECORDS,7731 28TH AVE NW,,98117,,,,3,3,0,2020-10-27,2020-11-04,2020-10-27 to 2021-01-25,SUSPICIOUS_IMPR_VALUE_1000,,1266000,1000,1267000,,,,,225039062
1,UNKNOWN / NOT IN SALE RECORDS,713 N 72ND ST,,98103,,,,3,3,0,2021-01-22,2021-03-16,2021-01-22 to 2021-04-22,,,788000,331000,1119000,,,,,3362401355
1,UNKNOWN / NOT IN SALE RECORDS,4428 52ND PL SW,,,,,,3,3,0,2021-03-04,2021-05-05,2021-03-04 to 2021-06-02,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,6506 A 42ND AVE SW,,,,,,3,3,0,2021-04-22,2021-06-30,2021-04-22 to 2021-07-21,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,8015 MARY AVE NW,,,,,,3,3,0,2021-04-27,2021-06-29,2021-04-27 to 2021-07-26,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,127 26TH AVE,,,,,,3,3,0,2021-04-27,2021-05-22,2021-04-27 to 2021-07-26,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,1908 QUEEN ANNE AVE N,,,,,,3,3,0,2021-05-04,2021-06-11,2021-05-04 to 2021-08-02,NO_PARCEL_RECORD,,,,,,,,,
