period,CP_total,VI_total,VI_as_pct_of_CP,CP_closed_norm,CP_open_norm,VI_closed_norm,VI_open_norm
2003-2025,177431,31409,0.1770209264446461,169095,8336,28355,3054
2015-2025,124194,13701,0.11031933909850718,115858,8336,10775,2926
