category,rrio_status,address,district,lt_complaints,verified,unverified,unverified_pct,open,sha_flag,units,contact,reg_number
UNREGISTERED,NOT REGISTERED,1600 19TH AVE,D3,10,4,6,60.0,0,,,,
UNREGISTERED,NOT REGISTERED,4700 12TH AVE NE,D4,10,1,3,30.0,6,,,,
UNREGISTERED,NOT REGISTERED,12712 LAKE CITY WAY NE,D5,10,1,9,90.0,0,YES,,,
UNREGISTERED,NOT REGISTERED,12200 STONE AVE N,D5,10,1,9,90.0,0,,,,
UNREGISTERED,NOT REGISTERED,307 NE THORNTON PL,D5,10,1,8,80.0,1,,,,
UNREGISTERED,NOT REGISTERED,14040 15TH AVE NE,D5,10,1,7,70.0,2,,,,
UNREGISTERED,NOT REGISTERED,5812 SW SPOKANE ST,D1,9,2,6,66.7,1,,,,
UNREGISTERED,NOT REGISTERED,2106 RAINIER AVE S,D2,9,6,3,33.3,0,,,,
UNREGISTERED,NOT REGISTERED,820 YESLER WAY,D2,9,2,6,66.7,1,,,,
UNREGISTERED,NOT REGISTERED,2849 EASTLAKE AVE E,D3,9,0,8,88.9,1,,,,
UNREGISTERED,NOT REGISTERED,1727 14TH AVE,D3,9,7,2,22.2,0,,,,
UNREGISTERED,NOT REGISTERED,609 FEDERAL AVE E,D3,9,5,3,33.3,1,,,,
UNREGISTERED,NOT REGISTERED,1901 E FIR ST,D3,9,0,9,100.0,0,,,,
UNREGISTERED,NOT REGISTERED,308 22ND AVE S,D3,9,1,7,77.8,1,YES,,,
UNREGISTERED,NOT REGISTERED,1660 12TH AVE,D3,9,2,5,55.6,2,,,,
UNREGISTERED,NOT REGISTERED,1730 22ND AVE,D3,9,2,4,44.4,3,,,,
UNREGISTERED,NOT REGISTERED,4711 WALLINGFORD AVE N,D4,9,3,5,55.6,1,,,,
UNREGISTERED,NOT REGISTERED,4544 7TH AVE NE,D4,9,4,3,33.3,2,YES,,,
UNREGISTERED,NOT REGISTERED,5616 NE 70TH ST,D4,9,3,6,66.7,0,,,,
UNREGISTERED,NOT REGISTERED,1024 NE 102ND ST,D5,9,2,2,22.2,5,,,,
UNREGISTERED,NOT REGISTERED,13713 GREENWOOD AVE N,D5,9,1,7,77.8,1,,,,
UNREGISTERED,NOT REGISTERED,11556 MERIDIAN AVE N,D5,9,2,7,77.8,0,,,,
UNREGISTERED,NOT REGISTERED,13700 AURORA AVE N,D5,9,2,5,55.6,2,,,,
UNREGISTERED,NOT REGISTERED,223 N 137TH ST,D5,9,0,6,66.7,3,,,,
