record_suffix,STATUSCURRENT,row_count
CP,COMPLETED,150591
CP,CLOSED,18504
CP,UNDER INVESTIGATION,7535
CP,OPEN DUPLICATE,756
CP,INITIATED,45
VI,COMPLETED,28244
VI,NOV ISSUED,1487
VI,INITIATED,712
VI,UNDER INVESTIGATION,212
VI,EO VACATE CLOSE ISSUED,185
VI,REFERRED TO LAW,177
VI,HAZARD CORRECTION ORDER ISSUED,110
VI,WARNING,79
VI,COMPLIANCE ACHIEVED,60
VI,WITHDRAWN,51
VI,EO REPAIR RESTORE ISSUED,46
VI,CITATION ISSUED,23
VI,STOP WORK ISSUED,23
